Detector, Descriptor, Image id, No matched keypoints in ROI, TTC lidar, TTC camera
BRISK,ORB,0,0,nan,nan
BRISK,ORB,1,94,12.9722,14.5006
BRISK,ORB,2,117,12.264,19.5049
BRISK,ORB,3,133,13.9161,14.9394
BRISK,ORB,4,111,7.11572,16.3706
BRISK,ORB,5,99,16.2511,20.3428
BRISK,ORB,6,111,12.4213,20.629
BRISK,ORB,7,107,34.3404,17.9827
BRISK,ORB,8,119,9.34376,16.0691
BRISK,ORB,9,124,18.1318,15.0023
BRISK,ORB,10,128,18.0318,12.2923
BRISK,ORB,11,125,3.83244,13.9703
BRISK,ORB,12,127,nan,12.8608
BRISK,ORB,13,130,9.22307,11.5189
BRISK,ORB,14,138,10.9678,12.1556
BRISK,ORB,15,148,8.09422,11.4651
BRISK,ORB,16,115,3.17535,11.7901
BRISK,ORB,17,147,nan,10.2975
BRISK,ORB,18,153,8.30978,11.4493
BRISK,FREAK,0,0,nan,nan
BRISK,FREAK,1,100,12.9722,12.3483
BRISK,FREAK,2,111,12.264,21.0838
BRISK,FREAK,3,134,13.9161,13.9222
BRISK,FREAK,4,115,7.11572,13.6652
BRISK,FREAK,5,93,16.2511,23.8766
BRISK,FREAK,6,106,12.4213,16.0739
BRISK,FREAK,7,125,34.3404,15.4463
BRISK,FREAK,8,106,9.34376,18.0417
BRISK,FREAK,9,114,18.1318,16.872
BRISK,FREAK,10,134,18.0318,13.8946
BRISK,FREAK,11,114,3.83244,13.7618
BRISK,FREAK,12,139,nan,11.6884
BRISK,FREAK,13,123,9.22307,12.7413
BRISK,FREAK,14,130,10.9678,11.4007
BRISK,FREAK,15,128,8.09422,14.7269
BRISK,FREAK,16,138,3.17535,10.194
BRISK,FREAK,17,150,nan,9.19943
BRISK,FREAK,18,139,8.30978,10.6755
BRISK,SIFT,0,0,nan,nan
BRISK,SIFT,1,100,12.9722,13.2855
BRISK,SIFT,2,114,12.264,16.2106
BRISK,SIFT,3,132,13.9161,16.7936
BRISK,SIFT,4,113,7.11572,11.8977
BRISK,SIFT,5,98,16.2511,29.3791
BRISK,SIFT,6,110,12.4213,15.3779
BRISK,SIFT,7,124,34.3404,13.8561
BRISK,SIFT,8,110,9.34376,15.879
BRISK,SIFT,9,128,18.1318,17.7328
BRISK,SIFT,10,137,18.0318,14.7719
BRISK,SIFT,11,116,3.83244,14.0406
BRISK,SIFT,12,144,nan,11.1832
BRISK,SIFT,13,139,9.22307,14.2826
BRISK,SIFT,14,131,10.9678,10.9752
BRISK,SIFT,15,136,8.09422,14.4003
BRISK,SIFT,16,122,3.17535,10.6877
BRISK,SIFT,17,144,nan,10.6205
BRISK,SIFT,18,151,8.30978,12.1137
ORB,BRISK,0,0,nan,nan
ORB,BRISK,1,40,12.9722,14.4
ORB,BRISK,2,38,12.264,20.1071
ORB,BRISK,3,47,13.9161,15.7403
ORB,BRISK,4,45,7.11572,43.2996
ORB,BRISK,5,42,16.2511,558.789
ORB,BRISK,6,53,12.4213,10.8411
ORB,BRISK,7,45,34.3404,117.685
ORB,BRISK,8,43,9.34376,11.0913
ORB,BRISK,9,35,18.1318,-inf
ORB,BRISK,10,43,18.0318,21.187
ORB,BRISK,11,38,3.83244,8.29125
ORB,BRISK,12,38,nan,-inf
ORB,BRISK,13,48,9.22307,7.71469
ORB,BRISK,14,40,10.9678,54.1773
ORB,BRISK,15,38,8.09422,12.1248
ORB,BRISK,16,38,3.17535,-inf
ORB,BRISK,17,45,nan,14.4347
ORB,BRISK,18,44,8.30978,28.0396
ORB,BRIEF,0,0,nan,nan
ORB,BRIEF,1,24,12.9722,21.3418
ORB,BRIEF,2,26,12.264,-inf
ORB,BRIEF,3,44,13.9161,105.121
ORB,BRIEF,4,35,7.11572,12.6401
ORB,BRIEF,5,32,16.2511,20.2303
ORB,BRIEF,6,18,12.4213,-48.152
ORB,BRIEF,7,33,34.3404,-inf
ORB,BRIEF,8,41,9.34376,34.6298
ORB,BRIEF,9,28,18.1318,-inf
ORB,BRIEF,10,35,18.0318,25.1256
ORB,BRIEF,11,24,3.83244,19.0934
ORB,BRIEF,12,28,nan,22.5603
ORB,BRIEF,13,25,9.22307,18.2207
ORB,BRIEF,14,37,10.9678,10.9178
ORB,BRIEF,15,27,8.09422,17.3561
ORB,BRIEF,16,28,3.17535,11.5879
ORB,BRIEF,17,28,nan,15.0441
ORB,BRIEF,18,25,8.30978,19.7379
ORB,ORB,0,0,nan,nan
ORB,ORB,1,35,12.9722,117.551
ORB,ORB,2,42,12.264,10.1192
ORB,ORB,3,47,13.9161,14.9194
ORB,ORB,4,45,7.11572,27.1889
ORB,ORB,5,32,16.2511,134.77
ORB,ORB,6,47,12.4213,18.4549
ORB,ORB,7,44,34.3404,-inf
ORB,ORB,8,46,9.34376,15.702
ORB,ORB,9,42,18.1318,-inf
ORB,ORB,10,33,18.0318,-inf
ORB,ORB,11,37,3.83244,8.67701
ORB,ORB,12,41,nan,-inf
ORB,ORB,13,36,9.22307,-inf
ORB,ORB,14,43,10.9678,-inf
ORB,ORB,15,43,8.09422,28.2728
ORB,ORB,16,41,3.17535,20.1994
ORB,ORB,17,50,nan,12.8853
ORB,ORB,18,40,8.30978,50.0669
ORB,FREAK,0,0,nan,nan
ORB,FREAK,1,17,12.9722,12.2074
ORB,FREAK,2,27,12.264,38.9372
ORB,FREAK,3,27,13.9161,11.669
ORB,FREAK,4,25,7.11572,11.3707
ORB,FREAK,5,22,16.2511,-inf
ORB,FREAK,6,31,12.4213,12.8725
ORB,FREAK,7,29,34.3404,-inf
ORB,FREAK,8,25,9.34376,9.02151
ORB,FREAK,9,25,18.1318,13.3992
ORB,FREAK,10,23,18.0318,-545.044
ORB,FREAK,11,22,3.83244,8.29125
ORB,FREAK,12,21,nan,35.8486
ORB,FREAK,13,27,9.22307,7.16642
ORB,FREAK,14,30,10.9678,68.7263
ORB,FREAK,15,26,8.09422,8.58
ORB,FREAK,16,30,3.17535,10.0181
ORB,FREAK,17,26,nan,11.3219
ORB,FREAK,18,24,8.30978,8.73235
ORB,SIFT,0,0,nan,nan
ORB,SIFT,1,40,12.9722,14.8587
ORB,SIFT,2,42,12.264,13.8583
ORB,SIFT,3,48,13.9161,15.4791
ORB,SIFT,4,47,7.11572,-inf
ORB,SIFT,5,44,16.2511,502.13
ORB,SIFT,6,54,12.4213,17.9796
ORB,SIFT,7,52,34.3404,127.591
ORB,SIFT,8,56,9.34376,10.7453
ORB,SIFT,9,44,18.1318,21.2278
ORB,SIFT,10,38,18.0318,25.1619
ORB,SIFT,11,40,3.83244,8.32267
ORB,SIFT,12,46,nan,-inf
ORB,SIFT,13,42,9.22307,9.25585
ORB,SIFT,14,57,10.9678,13.7643
ORB,SIFT,15,38,8.09422,33.3507
ORB,SIFT,16,50,3.17535,9.81389
ORB,SIFT,17,44,nan,18.702
ORB,SIFT,18,48,8.30978,14.2111
AKAZE,BRISK,0,0,nan,nan
AKAZE,BRISK,1,89,12.9722,12.8422
AKAZE,BRISK,2,95,12.264,15.7048
AKAZE,BRISK,3,101,13.9161,13.3659
AKAZE,BRISK,4,102,7.11572,14.5085
AKAZE,BRISK,5,96,16.2511,14.846
AKAZE,BRISK,6,97,12.4213,14.7084
AKAZE,BRISK,7,110,34.3404,15.8833
AKAZE,BRISK,8,115,9.34376,13.9229
AKAZE,BRISK,9,112,18.1318,13.8234
AKAZE,BRISK,10,114,18.0318,12.4778
AKAZE,BRISK,11,108,3.83244,12.3627
AKAZE,BRISK,12,104,nan,11.0871
AKAZE,BRISK,13,107,9.22307,10.0855
AKAZE,BRISK,14,95,10.9678,11.5788
AKAZE,BRISK,15,90,8.09422,12.0581
AKAZE,BRISK,16,105,3.17535,10.8543
AKAZE,BRISK,17,108,nan,9.63043
AKAZE,BRISK,18,108,8.30978,8.92524
AKAZE,BRIEF,0,0,nan,nan
AKAZE,BRIEF,1,91,12.9722,14.3649
AKAZE,BRIEF,2,112,12.264,15.0455
AKAZE,BRIEF,3,105,13.9161,14.3897
AKAZE,BRIEF,4,111,7.11572,13.8482
AKAZE,BRIEF,5,103,16.2511,15.0233
AKAZE,BRIEF,6,104,12.4213,15.2291
AKAZE,BRIEF,7,108,34.3404,16.572
AKAZE,BRIEF,8,123,9.34376,14.121
AKAZE,BRIEF,9,109,18.1318,16.7194
AKAZE,BRIEF,10,120,18.0318,11.5709
AKAZE,BRIEF,11,108,3.83244,13.0831
AKAZE,BRIEF,12,119,nan,12.6206
AKAZE,BRIEF,13,121,9.22307,10.0979
AKAZE,BRIEF,14,104,10.9678,11.3247
AKAZE,BRIEF,15,107,8.09422,11.3308
AKAZE,BRIEF,16,112,3.17535,10.1205
AKAZE,BRIEF,17,108,nan,9.85294
AKAZE,BRIEF,18,111,8.30978,9.7815
AKAZE,ORB,0,0,nan,nan
AKAZE,ORB,1,85,12.9722,13.0099
AKAZE,ORB,2,95,12.264,16.0425
AKAZE,ORB,3,98,13.9161,13.7883
AKAZE,ORB,4,94,7.11572,14.5389
AKAZE,ORB,5,100,16.2511,15.8082
AKAZE,ORB,6,87,12.4213,15.8497
AKAZE,ORB,7,111,34.3404,16.5629
AKAZE,ORB,8,112,9.34376,15.2575
AKAZE,ORB,9,98,18.1318,16.2841
AKAZE,ORB,10,120,18.0318,11.5597
AKAZE,ORB,11,99,3.83244,13.1799
AKAZE,ORB,12,114,nan,11.4861
AKAZE,ORB,13,98,9.22307,11.4626
AKAZE,ORB,14,109,10.9678,10.4385
AKAZE,ORB,15,104,8.09422,10.2055
AKAZE,ORB,16,105,3.17535,9.64969
AKAZE,ORB,17,100,nan,9.7292
AKAZE,ORB,18,99,8.30978,9.79672
AKAZE,FREAK,0,0,nan,nan
AKAZE,FREAK,1,84,12.9722,12.3081
AKAZE,FREAK,2,90,12.264,14.0983
AKAZE,FREAK,3,102,13.9161,14.4954
AKAZE,FREAK,4,96,7.11572,14.1762
AKAZE,FREAK,5,95,16.2511,16.2229
AKAZE,FREAK,6,97,12.4213,14.4455
AKAZE,FREAK,7,116,34.3404,15.372
AKAZE,FREAK,8,107,9.34376,15.5029
AKAZE,FREAK,9,95,18.1318,17.2454
AKAZE,FREAK,10,113,18.0318,11.8941
AKAZE,FREAK,11,101,3.83244,12.162
AKAZE,FREAK,12,98,nan,11.7755
AKAZE,FREAK,13,109,9.22307,10.7833
AKAZE,FREAK,14,109,10.9678,9.87627
AKAZE,FREAK,15,104,8.09422,9.73035
AKAZE,FREAK,16,99,3.17535,10.7239
AKAZE,FREAK,17,98,nan,9.47764
AKAZE,FREAK,18,102,8.30978,8.79442
AKAZE,AKAZE,0,0,nan,nan
AKAZE,AKAZE,1,95,12.9722,12.3168
AKAZE,AKAZE,2,96,12.264,15.2212
AKAZE,AKAZE,3,110,13.9161,13.1854
AKAZE,AKAZE,4,105,7.11572,14.2488
AKAZE,AKAZE,5,100,16.2511,16.4623
AKAZE,AKAZE,6,94,12.4213,14.8779
AKAZE,AKAZE,7,115,34.3404,15.2979
AKAZE,AKAZE,8,115,9.34376,15.269
AKAZE,AKAZE,9,107,18.1318,16.3553
AKAZE,AKAZE,10,119,18.0318,12.2822
AKAZE,AKAZE,11,106,3.83244,12.9512
AKAZE,AKAZE,12,117,nan,11.1809
AKAZE,AKAZE,13,113,9.22307,11.0846
AKAZE,AKAZE,14,109,10.9678,11.0979
AKAZE,AKAZE,15,101,8.09422,10.7774
AKAZE,AKAZE,16,109,3.17535,10.4
AKAZE,AKAZE,17,106,nan,9.60985
AKAZE,AKAZE,18,105,8.30978,9.5364
AKAZE,SIFT,0,0,nan,nan
AKAZE,SIFT,1,100,12.9722,12.4519
AKAZE,SIFT,2,106,12.264,15.2583
AKAZE,SIFT,3,113,13.9161,13.8031
AKAZE,SIFT,4,102,7.11572,14.2268
AKAZE,SIFT,5,100,16.2511,16.0576
AKAZE,SIFT,6,94,12.4213,16.5907
AKAZE,SIFT,7,116,34.3404,15.6234
AKAZE,SIFT,8,113,9.34376,14.832
AKAZE,SIFT,9,114,18.1318,14.8287
AKAZE,SIFT,10,127,18.0318,11.7862
AKAZE,SIFT,11,115,3.83244,12.3571
AKAZE,SIFT,12,119,nan,11.1895
AKAZE,SIFT,13,112,9.22307,11.4626
AKAZE,SIFT,14,112,10.9678,11.44
AKAZE,SIFT,15,103,8.09422,11.1914
AKAZE,SIFT,16,124,3.17535,9.89604
AKAZE,SIFT,17,109,nan,9.45174
AKAZE,SIFT,18,109,8.30978,9.6934
SIFT,BRISK,0,0,nan,nan
SIFT,BRISK,1,59,12.9722,11.5918
SIFT,BRISK,2,64,12.264,13.0542
SIFT,BRISK,3,79,13.9161,13.5432
SIFT,BRISK,4,68,7.11572,18.9447
SIFT,BRISK,5,60,16.2511,15.0724
SIFT,BRISK,6,72,12.4213,11.5722
SIFT,BRISK,7,81,34.3404,14.0533
SIFT,BRISK,8,82,9.34376,14.9979
SIFT,BRISK,9,81,18.1318,12.9428
SIFT,BRISK,10,62,18.0318,12.1381
SIFT,BRISK,11,61,3.83244,12.7588
SIFT,BRISK,12,62,nan,10.2518
SIFT,BRISK,13,62,9.22307,9.59755
SIFT,BRISK,14,66,10.9678,9.88336
SIFT,BRISK,15,61,8.09422,9.71646
SIFT,BRISK,16,71,3.17535,8.93159
SIFT,BRISK,17,56,nan,9.53044
SIFT,BRISK,18,55,8.30978,10.4772
SIFT,BRIEF,0,0,nan,nan
SIFT,BRIEF,1,71,12.9722,12.2506
SIFT,BRIEF,2,78,12.264,13.0807
SIFT,BRIEF,3,87,13.9161,15.0877
SIFT,BRIEF,4,72,7.11572,22.8595
SIFT,BRIEF,5,68,16.2511,13.2197
SIFT,BRIEF,6,84,12.4213,11.9659
SIFT,BRIEF,7,83,34.3404,15.7349
SIFT,BRIEF,8,86,9.34376,15.8137
SIFT,BRIEF,9,91,18.1318,12.7456
SIFT,BRIEF,10,69,18.0318,10.1241
SIFT,BRIEF,11,70,3.83244,12.033
SIFT,BRIEF,12,78,nan,10.1382
SIFT,BRIEF,13,68,9.22307,10.0226
SIFT,BRIEF,14,69,10.9678,10.6202
SIFT,BRIEF,15,65,8.09422,10.0867
SIFT,BRIEF,16,76,3.17535,9.47477
SIFT,BRIEF,17,56,nan,9.3448
SIFT,BRIEF,18,67,8.30978,8.7034
SIFT,FREAK,0,0,nan,nan
SIFT,FREAK,1,55,12.9722,11.2638
SIFT,FREAK,2,63,12.264,13.616
SIFT,FREAK,3,74,13.9161,13.5454
SIFT,FREAK,4,64,7.11572,20.5163
SIFT,FREAK,5,59,16.2511,15.1633
SIFT,FREAK,6,72,12.4213,11.9744
SIFT,FREAK,7,75,34.3404,14.4148
SIFT,FREAK,8,80,9.34376,13.1874
SIFT,FREAK,9,70,18.1318,13.9274
SIFT,FREAK,10,67,18.0318,11.3657
SIFT,FREAK,11,58,3.83244,13.5372
SIFT,FREAK,12,57,nan,10.7374
SIFT,FREAK,13,54,9.22307,10.056
SIFT,FREAK,14,57,10.9678,9.77994
SIFT,FREAK,15,55,8.09422,8.98705
SIFT,FREAK,16,72,3.17535,8.72439
SIFT,FREAK,17,49,nan,9.12142
SIFT,FREAK,18,58,8.30978,9.40627
SIFT,SIFT,0,0,nan,nan
SIFT,SIFT,1,84,12.9722,11.3868
SIFT,SIFT,2,81,12.264,12.5726
SIFT,SIFT,3,94,13.9161,12.9422
SIFT,SIFT,4,86,7.11572,18.8184
SIFT,SIFT,5,82,16.2511,12.4784
SIFT,SIFT,6,91,12.4213,11.1509
SIFT,SIFT,7,101,34.3404,13.5735
SIFT,SIFT,8,99,9.34376,14.6937
SIFT,SIFT,9,107,18.1318,13.3976
SIFT,SIFT,10,83,18.0318,11.5499
SIFT,SIFT,11,87,3.83244,11.2887
SIFT,SIFT,12,92,nan,11.0189
SIFT,SIFT,13,91,9.22307,9.95735
SIFT,SIFT,14,89,10.9678,10.5754
SIFT,SIFT,15,94,8.09422,9.77464
SIFT,SIFT,16,92,3.17535,9.05267
SIFT,SIFT,17,79,nan,8.69186
SIFT,SIFT,18,81,8.30978,8.9237
